,Unnamed: 0,run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.accuracy,metrics.loss,params.batch_size,params.epochs,params.units_1st_layer,params.hidden_activation,params.units_2nd_layer,tags.mlflow.source.name,tags.mlflow.runName,tags.mlflow.user,tags.model,tags.mlflow.source.type
0,0.0,b3288fe1ad6e4c269fdda3ec7897bdae,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/b3288fe1ad6e4c269fdda3ec7897bdae/artifacts,2024-04-29 10:47:21.145000+00:00,2024-04-29 10:47:21.169000+00:00,0.8840399980545044,0.2889178395271301,512,4,32,relu,,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,inquisitive-loon-101,luisggon,Base_tanh_2,LOCAL
1,1.0,913cf68f86e443adae0b87269c2d7897,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/913cf68f86e443adae0b87269c2d7897/artifacts,2024-04-29 10:47:15.278000+00:00,2024-04-29 10:47:15.303000+00:00,0.880840003490448,0.2979096472263336,512,4,16,relu,,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,spiffy-shrimp-14,luisggon,Base_tanh_1,LOCAL
2,2.0,d1c1615ba1a44a92a80dd6e88b0b1af4,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/d1c1615ba1a44a92a80dd6e88b0b1af4/artifacts,2024-04-29 10:47:09.139000+00:00,2024-04-29 10:47:09.164000+00:00,0.8827999830245972,0.3046735823154449,512,4,8,relu,,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,unruly-gull-578,luisggon,Base_tanh_0,LOCAL
3,3.0,2143f77529164b8ca07fca057f2f5a08,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/2143f77529164b8ca07fca057f2f5a08/artifacts,2024-04-29 10:29:48.952000+00:00,2024-04-29 10:29:49.003000+00:00,0.8708400130271912,0.338134616613388,512,4,64,tanh,64.0,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,likeable-deer-618,luisggon,Base_tanh_2,LOCAL
4,4.0,fd6c45e187074f2680867d44a7fd7738,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/fd6c45e187074f2680867d44a7fd7738/artifacts,2024-04-29 10:29:40.953000+00:00,2024-04-29 10:29:40.979000+00:00,0.8784000277519226,0.3098130822181701,512,4,32,tanh,32.0,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,sassy-colt-222,luisggon,Base_tanh_1,LOCAL
5,5.0,86caf32d83274909b20505b6d3e74afe,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/86caf32d83274909b20505b6d3e74afe/artifacts,2024-04-29 10:29:34.243000+00:00,2024-04-29 10:29:34.275000+00:00,0.8815199732780457,0.2878344058990478,512,4,16,tanh,16.0,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,shivering-mouse-746,luisggon,Base_tanh_0,LOCAL
6,6.0,e1eee968bf3d4c169386b71c68da99c2,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/e1eee968bf3d4c169386b71c68da99c2/artifacts,2024-04-29 09:47:10.132000+00:00,2024-04-29 09:47:10.159000+00:00,0.8488399982452393,0.3855859339237213,512,4,64,relu,64.0,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,upset-snake-27,luisggon,Base_relu_2,LOCAL
7,7.0,acccca3ed4d24086bf23482cb15cc9d8,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/acccca3ed4d24086bf23482cb15cc9d8/artifacts,2024-04-29 09:47:02.683000+00:00,2024-04-29 09:47:02.711000+00:00,0.8739200234413147,0.3137406408786773,512,4,32,relu,32.0,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,receptive-midge-765,luisggon,Base_relu_1,LOCAL
8,8.0,be8220fcea6547c4b537882eed3e31ee,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/be8220fcea6547c4b537882eed3e31ee/artifacts,2024-04-29 09:46:56.301000+00:00,2024-04-29 09:46:56.329000+00:00,0.8805999755859375,0.2945023775100708,512,4,16,relu,16.0,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,colorful-skink-172,luisggon,Base_relu_0,LOCAL
0,,b1f52b1ed1b04b7fb03c3b76ca4f7dec,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/b1f52b1ed1b04b7fb03c3b76ca4f7dec/artifacts,2024-04-29 11:11:40.334000+00:00,2024-04-29 11:11:40.360000+00:00,0.8806399703025818,0.2912566065788269,512,4,32,tanh,,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,upbeat-whale-254,luisggon,Base_tanh_2,LOCAL
1,,21c688ffa6a44fb9b200dedc5ba0bcf8,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/21c688ffa6a44fb9b200dedc5ba0bcf8/artifacts,2024-04-29 11:11:34.157000+00:00,2024-04-29 11:11:34.185000+00:00,0.8715999722480774,0.314444899559021,512,4,16,tanh,,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,gaudy-lynx-57,luisggon,Base_tanh_1,LOCAL
2,,2f2d2a9c11da435d8e0ae5d1802afe4a,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/2f2d2a9c11da435d8e0ae5d1802afe4a/artifacts,2024-04-29 11:11:27.870000+00:00,2024-04-29 11:11:27.897000+00:00,0.8728399872779846,0.3294762074947357,512,4,8,tanh,,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,selective-dove-341,luisggon,Base_tanh_0,LOCAL
3,,b3288fe1ad6e4c269fdda3ec7897bdae,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/b3288fe1ad6e4c269fdda3ec7897bdae/artifacts,2024-04-29 10:47:21.145000+00:00,2024-04-29 10:47:21.169000+00:00,0.8840399980545044,0.2889178395271301,512,4,32,relu,,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,inquisitive-loon-101,luisggon,Base_tanh_2,LOCAL
4,,913cf68f86e443adae0b87269c2d7897,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/913cf68f86e443adae0b87269c2d7897/artifacts,2024-04-29 10:47:15.278000+00:00,2024-04-29 10:47:15.303000+00:00,0.880840003490448,0.2979096472263336,512,4,16,relu,,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,spiffy-shrimp-14,luisggon,Base_tanh_1,LOCAL
5,,d1c1615ba1a44a92a80dd6e88b0b1af4,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/d1c1615ba1a44a92a80dd6e88b0b1af4/artifacts,2024-04-29 10:47:09.139000+00:00,2024-04-29 10:47:09.164000+00:00,0.8827999830245972,0.30467358231544495,512,4,8,relu,,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,unruly-gull-578,luisggon,Base_tanh_0,LOCAL
6,,2143f77529164b8ca07fca057f2f5a08,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/2143f77529164b8ca07fca057f2f5a08/artifacts,2024-04-29 10:29:48.952000+00:00,2024-04-29 10:29:49.003000+00:00,0.8708400130271912,0.33813461661338806,512,4,64,tanh,64,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,likeable-deer-618,luisggon,Base_tanh_2,LOCAL
7,,fd6c45e187074f2680867d44a7fd7738,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/fd6c45e187074f2680867d44a7fd7738/artifacts,2024-04-29 10:29:40.953000+00:00,2024-04-29 10:29:40.979000+00:00,0.8784000277519226,0.30981308221817017,512,4,32,tanh,32,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,sassy-colt-222,luisggon,Base_tanh_1,LOCAL
8,,86caf32d83274909b20505b6d3e74afe,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/86caf32d83274909b20505b6d3e74afe/artifacts,2024-04-29 10:29:34.243000+00:00,2024-04-29 10:29:34.275000+00:00,0.8815199732780457,0.28783440589904785,512,4,16,tanh,16,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,shivering-mouse-746,luisggon,Base_tanh_0,LOCAL
9,,e1eee968bf3d4c169386b71c68da99c2,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/e1eee968bf3d4c169386b71c68da99c2/artifacts,2024-04-29 09:47:10.132000+00:00,2024-04-29 09:47:10.159000+00:00,0.8488399982452393,0.3855859339237213,512,4,64,relu,64,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,upset-snake-27,luisggon,Base_relu_2,LOCAL
10,,acccca3ed4d24086bf23482cb15cc9d8,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/acccca3ed4d24086bf23482cb15cc9d8/artifacts,2024-04-29 09:47:02.683000+00:00,2024-04-29 09:47:02.711000+00:00,0.8739200234413147,0.31374064087867737,512,4,32,relu,32,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,receptive-midge-765,luisggon,Base_relu_1,LOCAL
11,,be8220fcea6547c4b537882eed3e31ee,926124755463801135,FINISHED,file:///mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/notebooks/mlruns/926124755463801135/be8220fcea6547c4b537882eed3e31ee/artifacts,2024-04-29 09:46:56.301000+00:00,2024-04-29 09:46:56.329000+00:00,0.8805999755859375,0.2945023775100708,512,4,16,relu,16,/mnt/0A2AAC152AABFBB7/sideProjects/deepLearning/.venv/lib/python3.12/site-packages/ipykernel_launcher.py,colorful-skink-172,luisggon,Base_relu_0,LOCAL
